,ticker_start,esg_score_year_start,environment_score_start,social_score_start,governance_score_start,total_score_start,Date_start,High_start,Low_start,Open_start,Close_start,Volume_start,Adj Close_start,MarketData_Year_start,environment_score_end,social_score_end,governance_score_end,total_score_end,Date_end,High_end,Low_end,Open_end,Close_end,Volume_end,Adj Close_end,MarketData_Year_end,Annual_Return
0,A,2019,0.88,9.48,7.19,17.6,2019-01-02,66.5699996948242,65.3000030517578,66.5,65.6900024414062,2113300,64.1615371704101,2019,0.88,9.48,7.19,17.6,2019-12-31,85.3399963378906,84.6699981689453,84.8399963378906,85.3099975585937,1176200,84.0363082885742,2019,0.28285710614426607
1,A,2020,0.87,9.42,6.86,17.14,2020-01-02,86.3499984741211,85.1999969482421,85.9000015258789,85.9499969482421,1410500,84.6667404174804,2020,0.87,9.42,6.86,17.14,2020-12-31,118.599998474121,116.599998474121,117.58999633789,118.489997863769,1307200,117.475105285644,2020,0.3793945955643759
2,A,2021,0.87,9.44,6.29,16.6,2021-01-04,120.08999633789,117.110000610351,118.940002441406,118.639999389648,2030700,117.81672668457,2021,0.87,9.44,6.29,16.6,2021-12-31,161.449996948242,159.52000427246,160.350006103515,159.649993896484,1315500,159.190078735351,2021,0.34227333629939327
3,A,2022,573.0,231.0,233.0,1037.0,2022-01-03,159.440002441406,153.929992675781,159.0,156.479995727539,1606300,156.234710693359,2022,573.0,231.0,233.0,1037.0,2022-04-14,128.960006713867,125.569999694824,128.419998168945,126.440002441406,3360200,126.440002441406,2022,-0.2047798588590818
4,AAL,2022,270.0,211.0,265.0,746.0,2022-01-03,19.1800003051757,18.2000007629394,18.2299995422363,18.75,42781000,18.75,2022,270.0,211.0,265.0,746.0,2022-04-14,19.4899997711181,18.8799991607666,18.9899997711181,19.0,43139700,19.0,2022,0.042238095287919206
5,AAP,2022,264.0,261.0,210.0,735.0,2022-01-03,242.149993896484,234.869995117187,240.639999389648,236.779998779296,899800,235.06851196289,2022,264.0,261.0,210.0,735.0,2022-04-14,222.960006713867,218.380004882812,221.0,218.679992675781,513000,218.679992675781,2022,-0.09125667706767666
6,AAPL,2019,0.55,13.58,10.47,24.32,2019-01-02,39.7125015258789,38.5574989318847,38.7224998474121,39.4799995422363,148158800,38.2775230407714,2019,0.55,13.58,10.47,24.32,2019-12-31,73.4199981689453,72.3799972534179,72.4824981689453,73.4124984741211,100805600,72.2459335327148,2019,0.8958615472504776
7,AAPL,2021,0.18,7.69,8.86,16.72,2021-01-04,133.610000610351,126.76000213623,133.52000427246,129.410003662109,143301900,128.45344543457,2021,0.18,7.69,8.86,16.72,2021-12-31,179.229995727539,177.259994506835,178.08999633789,177.570007324218,64062300,177.344055175781,2021,0.3299131339291293
8,AAPL,2022,355.0,281.0,255.0,891.0,2022-01-03,182.880004882812,177.710006713867,177.830001831054,182.009994506835,104487900,181.778396606445,2022,0.65,6.86,8.95,16.45,2022-04-14,171.27000427246,165.039993286132,170.619995117187,165.289993286132,75237500,165.289993286132,2022,-0.07051683301918624
9,ABBV,2019,1.03,17.06,11.66,30.63,2019-01-02,91.2600021362304,88.4199981689453,91.2399978637695,89.2300033569336,6908400,74.9429321289062,2019,1.03,17.06,11.66,30.63,2019-12-31,88.5999984741211,87.8799972534179,88.2099990844726,88.5400009155273,4702100,78.5657653808593,2019,-0.029592251331193243
