environment_score,social_score,governance_score,esg_momentum,Annual_Return
982.6,811.6,862.8,8.0,0.0
982.6,811.2,874.2,11.0,0.3803374474697988
996.4,846.2,822.8,157.4,0.5056429120676078
987.0,862.8,821.0,5.4,1.1176265382054793
980.8,659.0,749.2,-16.0,0.04188488921173838
987.0,660.0,778.4,36.4,0.22641079046600252
932.8,682.8,777.8,13.0,0.011634671733400218
939.6,686.4,792.0,24.6,0.26945903981210095
980.6,837.4,882.8,7.6,0.7898778564180042
980.8,838.0,876.2,-5.8,0.6357184559504513
984.8,868.4,880.4,38.6,1.4450261938025584
991.0,838.8,899.0,2.2,2.8909831828679313
990.4,887.0,905.2,53.8,4.646771536040177
971.6,883.2,907.2,-20.6,5.566259629169189
682.2,729.8,892.4,34.0,-0.46352527927576614
681.8,730.2,903.0,10.6,-0.4197789331044298
998.6,832.8,869.6,25.4,0.5141361724039013
998.6,849.0,880.0,26.6,0.9816173745658288
994.6,858.2,889.2,14.4,0.9657942140276017
974.4,744.6,890.8,7.2,1.185340412626972
972.6,815.6,904.4,82.8,2.453635914294235
945.4,829.4,908.0,-9.8,2.300989078161916
696.0,832.6,887.6,156.8,0.03059924343604065
610.0,803.4,894.4,-36.6,-0.051308856154648204
676.6,854.2,889.6,112.6,0.030948269393743136
952.4,842.4,739.8,12.0,-0.49749854377394487
990.6,854.8,808.6,119.4,-0.32204767274282026
962.0,744.2,683.2,-15.6,-0.3977894106254532
961.2,750.8,702.4,25.0,-0.5680046260897511
973.2,789.2,737.2,19.8,0.5370564896803061
997.6,779.2,730.8,-4.2,-0.16358345618300804
997.2,777.2,728.8,-4.4,0.11122752215525236
960.4,769.8,847.6,-1.2,0.22443282879022844
961.4,793.0,851.0,27.6,0.3671902998246703
612.2,821.8,826.0,-44.4,-0.15520647834066037
618.2,820.6,824.6,3.4,0.7758000036787668
999.4,705.4,864.8,39.2,1.7934847541608903
999.4,736.4,870.0,36.2,1.637114738140779
952.0,799.2,745.4,51.4,1.1885981067507183
945.6,851.4,750.6,51.0,2.539965335624133
883.8,866.4,888.0,0.6,1.6585224910819498
925.4,924.4,902.0,113.6,1.5549739836261858
951.8,930.4,899.8,30.2,2.331937348021046
885.2,730.8,784.0,64.2,21.082723413057664
891.2,741.4,805.4,38.0,36.07539262454855
885.8,707.6,802.8,-41.8,38.652009411735065
981.2,810.8,900.2,10.8,2.0202443922250772
977.4,820.8,902.4,8.4,3.1613731947898573
982.8,853.6,901.4,37.2,3.6013962098226697
795.8,737.0,845.6,-122.4,-0.4442117259435226
857.6,773.0,872.2,124.4,-0.027690486846491925
879.0,970.8,927.0,9.4,2.120419100840934
881.2,974.4,928.2,7.0,2.441652217533906
920.6,872.4,863.6,42.8,0.12053520625517603
924.6,905.8,893.4,67.2,0.5068062722019678
713.2,709.2,867.0,56.2,0.2842350345191024
731.6,738.2,865.0,45.4,0.09400816889732304
717.0,739.0,868.4,-10.4,0.22175690315716753
929.2,926.2,887.6,5.6,0.9685864212238346
929.8,929.0,893.0,8.8,1.4111694340205558
820.8,826.8,842.0,11.4,3.947295128438047
744.4,964.8,915.6,10.0,0.5044793739227702
756.2,961.4,920.0,12.8,0.7673065653319956
760.6,801.6,880.4,-25.6,0.03641657930274076
744.4,798.8,875.2,-24.2,0.03280977068144041
735.4,805.2,890.0,12.2,0.7479931452167433
998.8,765.2,802.6,34.4,0.4642234201964099
999.0,796.6,811.8,40.8,0.3733566618817663
948.8,663.2,819.0,8.0,-0.000930706257575982
949.8,680.8,815.6,15.2,-0.06783006872462724
932.0,630.4,776.6,-36.8,1.498105832684384
931.8,634.8,787.2,14.8,2.0935739282769106
929.0,676.6,808.6,60.4,1.8456705244827822
999.4,694.0,839.4,3.2,2.4233856968158975
999.6,707.0,849.2,23.0,1.826643461562101
999.6,738.6,843.6,26.0,1.8404887500115263
955.8,786.2,793.6,31.2,-0.40756253662671016
960.2,810.8,786.0,21.4,-0.5149505513740452
922.4,812.0,877.0,13.4,23.13705819218182
922.4,806.4,873.8,-8.8,24.178361312321144
969.4,659.0,795.2,-64.8,-0.2866782600857323
972.6,684.6,780.4,14.0,-0.26305989066122937
999.4,696.0,850.0,107.8,-0.28586383655479586
943.4,742.8,793.6,139.6,-0.4983129673048813
892.0,783.2,849.2,12.0,-0.48865616847470983
901.2,809.2,855.8,41.8,-0.5571843778872874
923.6,898.2,892.6,7.2,0.5774288145568106
926.0,899.4,898.4,9.4,0.05666088322065966
802.6,694.0,886.8,-23.8,-0.6087259771566519
780.6,672.6,901.0,-29.2,-0.5812681447686776
766.0,672.0,904.6,-11.6,-0.6037230648208882
954.2,836.0,897.4,15.0,-0.41721929112878225
951.0,892.6,909.8,65.8,-0.3841768215443782
968.6,785.6,771.4,-7.8,0.8152415338741907
967.6,774.4,782.4,-1.2,0.7420593486129262
967.0,766.4,786.6,-4.4,1.22734158456535
948.6,856.2,820.4,58.0,0.07748695632734401
943.0,851.4,816.2,-14.6,0.4945900088248928
966.8,945.2,928.4,-12.2,-0.2847003871825035
957.4,946.0,929.8,-7.2,-0.30773703186268697
974.6,950.4,935.2,27.0,0.2643397563261926
830.2,820.0,925.6,-22.2,-0.4030249774197345
816.4,810.8,923.0,-25.6,-0.7628853998464278
795.8,804.6,923.6,-26.2,-0.750901679933102
976.8,789.8,889.8,21.2,-0.16881902297728935
977.2,803.0,894.6,18.4,0.5795229705357192
964.2,719.2,765.0,18.8,-0.5258871268639411
962.6,750.2,776.8,41.2,-0.5867364546776752
824.8,827.6,840.8,7.2,-0.1852239527042822
852.6,835.6,857.2,52.2,0.007562554311411218
869.4,869.4,868.2,61.6,0.18336245153293174
871.2,740.0,871.0,1.6,-0.0944734776980117
883.4,752.8,874.4,28.4,0.07469466000952545
902.2,811.6,887.4,90.6,0.2553810974858912
955.6,802.8,842.2,-7.4,4.7059919732783655
947.0,783.2,838.4,-32.0,6.527981992557826
888.6,738.0,844.8,-97.2,6.5343809200682
965.8,811.6,694.0,6.2,0.23280980639988266
964.4,817.8,709.4,20.2,-0.01687023852768152
963.4,811.6,730.6,14.0,0.31599772674570187
959.0,761.2,746.8,-20.2,-0.1652123031285343
966.2,737.4,757.8,-5.6,-0.3542757187962879
975.6,814.0,818.2,-3.2,-0.4721349559047308
962.2,802.8,824.6,-18.2,-0.41233275029220345
908.8,757.8,838.6,-84.4,-0.4096567367010244
946.4,853.6,870.6,11.4,1.3484585603583317
961.0,869.0,879.0,38.4,1.0860966778661416
957.4,875.8,875.2,-0.6,1.623153166964714
919.6,705.4,879.2,11.8,8.984758962809947
920.6,707.4,886.4,10.2,14.347528118789539
931.0,819.8,874.2,1.0,1.0863294201664306
917.2,839.2,880.6,12.0,1.5755672246129153
729.6,818.6,893.0,19.4,-0.28202441803577044
744.4,835.6,893.4,32.2,-0.3064572108748632
804.0,884.4,889.6,104.6,-0.2471204028355698
997.8,717.4,854.6,23.4,-0.03839436343342421
723.8,766.8,878.0,67.4,-0.6864455879425135
644.2,762.0,883.0,-79.4,-0.7517161034640386
