ticker,environment_score,social_score,governance_score,total_score,esg_score_year,Date,High,Low,Open,Close,Volume,Adj Close,esg_momentum,Annual_Return_Close,Annual_Return_High
A,982.6,811.6,862.8,2657,2020,1/2/2020,86.34999847,85.19999695,85.90000153,85.94999695,1410500,84.66674042,8,,
A,982.6,811.2,874.2,2668,2021,1/4/2021,120.0899963,117.1100006,118.9400024,118.6399994,2030700,117.8167267,11,38.03374474697989,39.07353610634059
AAPL,996.4,846.2,822.8,2665.4,2021,1/4/2021,133.6100006,126.7600021,133.5200043,129.4100037,143301900,128.4534454,157.4,,
AAPL,987,862.8,821,2670.8,2022,1/3/2022,182.8800049,177.7100067,177.8300018,182.0099945,104487900,181.7783966,5.4,40.646000537901216,36.87598538937509
ABBV,980.8,659,749.2,2389,2020,1/2/2020,89.56999969,88.51000214,89.08000183,89.55000305,5639200,79.46199036,-16,,
ABBV,987,660,778.4,2425.4,2021,1/4/2021,107.3499985,103.8600006,107.1800003,105.4100037,9523400,98.71338654,36.4,17.710776225372783,19.850395078191596
ABT,932.8,682.8,777.8,2393.4,2020,1/2/2020,86.95999908,85.80000305,86.05999756,86.94999695,4969000,83.66768646,13,,
ABT,939.6,686.4,792,2418,2021,1/4/2021,110.25,107.2600021,109.5299988,109.1100006,6192000,106.6464157,24.6,25.48591653515866,26.782430044156346
ACN,980.6,837.4,882.8,2700.8,2018,1/2/2018,154.1000061,152.7799988,153.5,153.8399963,3061900,144.2749023,7.6,,
ACN,980.8,838,876.2,2695,2019,1/2/2019,141.1900024,138.2799988,138.9299927,140.5899963,2059300,134.22789,-5.8,-8.612844721,-8.377678903
ACN,984.8,868.4,880.4,2733.6,2020,1/2/2020,211.9199982,208.8099976,210.8600006,210.1499939,2431100,203.1711426,38.6,49.47720281005512,50.09561201055692
ADBE,991,838.8,899,2728.8,2020,1/2/2020,334.480011,329.1700134,330,334.4299927,1990100,334.4299927,2.2,,
