environment_score_start,social_score_start,governance_score_start,total_score_start,other_metric
environment_score_end,social_score_end,governance_score_end,total_score_end,Annual_Return
0.88,9.48,7.19,17.6,0.28285710614426607
0.87,9.42,6.86,17.14,0.3793945955643759
0.87,9.44,6.29,16.6,0.34227333629939327
573,231,233,1037,-0.204779858859081
270,211,265,746,0.042238095287919206
264,261,210,735,-0.0912566770676766
0.55,13.58,10.47,24.32,0.8958615472504776
0.18,7.69,8.86,16.72,0.3299131339291293
0.65,6.86,8.95,16.45,-0.0705168330191862
1.03,17.06,11.66,30.63,-0.0295922513311932
0.96,17.05,12.54,30.56,0.20285136195994022
0.65,17,11.08,28.73,0.2632953303877389
505,317,300,1122,0.19865588338368292
505,300,315,1120,0.21594512360390555
500,324,305,1129,-0.145027970468533
3.71,15.31,11.96,30.84,0.23398211910093014
3.36,15.86,11.11,30.34,0.27225192853651975
3.02,15.68,10.4,29.1,0.2849448284643596
515,305,305,1125,-0.155920471751923
0.92,8.62,5.8,15.16,0.304225591412965
0.97,8.13,5.86,15.1,-0.0813681139619869
0.96,8.1,6.19,15.26,0.5156554986339222
0.76,6.58,5.98,13.32,0.23878398320679586
515,360,305,1180,-0.229561572374298
0.47,7.97,5.23,13.87,0.4997498616085923
0.45,8.06,5.05,13.54,0.5155151367187485
0.48,5.65,4.74,10.88,0.13343995881377332
1.42,5.84,4.64,11.9,-0.258025263695775
350,318,300,968,-0.106582167974555
16.38,14.2,5.9,36.36,0.142469776257706
15.89,13.51,5.38,34.78,0.0824565208879458
15.91,13.49,4.85,34.25,0.34107131530909074
587,353,305,1245,0.4335799681890346
0.08,9.82,6.32,16.34,0.14465721415610508
0.07,8.36,6.52,14.63,0.3200680951205229
0.07,7.55,6,13.63,0.0246568392000015
0.27,7.09,5.54,12.9,0.4012615793631288
500,300,200,1000,-0.0647188475000247
1.27,12.97,5.63,19.73,0.4631151416132247
1.28,12.77,5.46,19.52,0.6575646556062178
1.37,9.22,4.78,15.36,-0.0753674131536971
2.73,8.53,4.6,15.86,-0.299219933642505
18.26,12.17,6.6,37.02,0.014556733580044197
15.2,8.37,5.62,29.18,0.0784313725490196
17.84,9.38,5.56,32.76,-0.118836014359085
19.5,9.83,5.28,34.61,0.0676826984965532
16.17,7.29,5.52,28.97,0.1513032164918855
525,326,370,1221,0
2.05,8.23,13.59,23.87,-0.16157616038644
2.38,7.88,13.01,23.27,0.3091928562178988
0.47,7.26,9.57,17.3,0.11427597886541861
1.86,11.58,16.31,29.62,0.3195372703753348
1.9,12.79,15.84,30.54,-0.266847384627568
1.94,12.46,14.88,29.29,0.5102257186169972
518,323,310,1151,0.10230847224377464
1.36,11.17,13.48,26.01,0.0357359853677193
1.34,10.54,13.14,25.01,0.14426248386994256
438,316,300,1054,0.21043547407474064
0.12,11.03,13.26,23.46,0.159716724359336
0.12,11.04,13.46,23.99,0.3106248081101334
0.14,11.14,13.56,24.86,0.29390229363807957
530,344,310,1184,0.0668675513802287
1.91,11.8,7.34,21.05,0.20900509317455004
1.98,11.51,7.62,21.11,0.11286491350426801
1.93,10.35,7.45,19.73,0.015532983897463116
17.64,8.71,8.43,35.3,-0.0364116362151847
19.39,8.91,8.7,36.99,1.0070748880606804
19.09,8.97,8.77,36.83,0.5289078718389382
545,322,315,1182,-0.109153874896492
235,285,255,775,-0.375559934562276
515,303,259,1077,0.0804010584738383
530,300,220,1050,0.19881107144041618
542,322,315,1179,-0.18724461901972
525,317,300,1142,-0.281349076564703
200,208,200,608,-0.358825975265705
540,329,270,1139,-0.137181643112006
0.03,16.38,7.07,23.41,0.11017959163357405
0.03,14.73,6.76,21.51,-0.0538271680290329
0.03,13.18,6.5,19.71,-0.027156751478041
575,312,328,1215,0.13589410511158004
2.3,12.19,13.25,27.75,0.15990217033833165
2.4,10.04,12.73,25.17,0.544598048890789
2.72,7.43,12.47,22.62,-0.0426435129141973
5.81,6.68,5.63,18.12,0.4627968075322928
5.81,6.68,5.6,18.09,-0.0227272123318229
3.73,3.78,4.9,12.42,0.2938469966098223
2.41,3.48,5.01,10.89,-0.125970525177499
6.66,15.55,11,33.69,0.2611520798525851
5.74,13.46,10.8,30,0.7370292968749973
5.44,12.93,9.73,28.09,0.019675867856458716
5.71,14.62,9.86,30.18,-0.0945598678566099
444,310,295,1049,-0.121521236392949
0.75,9.96,5.22,15.93,0.8361509321586353
0.94,9.46,4.99,15.4,0.4155090228770776
1.13,8.96,4.88,14.98,0.10699596622221748
0.86,7.32,4.93,13.12,-0.292317388310411
485,304,288,1077,0.0935439328901999
13.6,4.11,7.25,24.83,-0.305126115007441
10.21,13.15,7.72,31.07,0.1442287595370415
7.12,11.35,6.39,24.87,-0.256873210194094
21.98,8.88,7.96,38.81,0.8354948866781068
510,316,325,1151,0.6129985387089295
6.28,1.68,3.67,11.64,0.16140276820702662
6.05,1.46,3.65,11.17,0.10483312241383719
5.94,1.28,3.59,10.81,-0.189412829228729
512,303,475,1290,-0.198405526114513
4.12,7.54,7.65,19.3,0.573653746841894
3.97,6.38,6.82,17.17,0.35803616813231265
3.77,4.71,5.33,13.81,0.255709471542467
555,339,310,1204,-0.35382859129044
600,337,345,1282,-0.120899850078775
15.9,15.4,7.04,38.35,0.21204897064348327
14.34,14.54,6.65,35.54,-0.148250629013065
13.42,13.09,6.75,33.26,0.0982179765966284
14.15,13.05,6.58,33.79,0.1403809320358953
280,347,330,957,0.1879891240940953
3.57,3.6,5.96,13,-0.0254213191064935
3.54,3.69,5.62,12.81,0.21515899662833968
3.51,3.55,5.35,12.42,-0.237717440093522
500,300,298,1098,-0.0363409125031207
8.99,8.39,8.71,26.09,0.3711950271219582
8.96,8.66,7.9,25.52,0.5146017651473884
210,212,200,622,-0.13877721023209
13.3,1.58,4.38,19.25,0.47585749351319945
12.78,1.76,4.22,18.74,0.17927470576975862
12.19,1.93,4,18.12,0.39309145742433593
535,347,325,1207,-0.23209258167087
11.17,9.76,5.66,26.6,0.21246649196273779
11.97,9.92,5.98,27.93,-0.00252750941685267
12.78,10.06,6.24,29.14,0.35820898417961144
13.23,9.74,5.5,28.48,0.23011790602462612
653,395,300,1348,-0.120706976828314
0.07,13.13,10.19,23.25,0.32563084878249327
0.06,11.74,9.87,21.68,-0.030081821673649
0.05,10.17,9.41,19.62,0.3487221928074411
230,226,208,664,0.10120971193991644
260,222,213,695,0.0419304583085152
220,224,235,679,-0.108137242934284
220,394,265,879,-0.166777565586945
2.5,17.47,8.88,28.56,0.2669697385845758
2.56,16.84,9.05,28.45,-0.0560000251321234
2.51,15.96,9.22,27.7,0.0664678670159246
500,316,300,1116,-0.106173930753964
2.55,8.35,5.18,16.08,-0.253361981581835
2.11,5.2,4.6,11.92,0.12897388397554388
430,231,300,961,-0.0838621882426218
3.45,16.51,11.25,31.84,0.0475614677658257
3.4,18.48,11.17,33.05,0.22525566824640672
3.41,18.26,10.64,32.31,-0.0803777942687077
3.55,16.17,9.57,29.3,0.00191234875059835
607,384,315,1306,0.1128641268231669
321,349,310,980,-0.241471361931831
0.04,14.99,8.49,23.52,-0.000370520660688841
0.03,15.3,8.03,23.36,-0.18123452615097
0.02,14.65,7.54,22.2,-0.023683597274034
0.02,13.07,7.82,20.91,-0.11492813469162
275,227,300,802,-0.271188674240294
2.38,12.18,10.22,24.81,0.0812030645745892
2.21,10.69,10.32,23.22,-0.158937784448584
1.99,9.46,10.7,22.15,0.36658827837775537
500,300,300,1100,-0.193003376332653
4.37,9.5,6.23,20.31,0.21432666990022173
3.88,9.4,6.15,19.43,0.0768082211798021
3.88,9.68,6.31,19.87,0.0663244357638888
558,306,310,1174,-0.0807717544108543
1.52,14.37,9.69,26.01,-0.133580411107313
1.53,17.05,10.24,28.38,-0.153420223933907
1.37,15.77,10.98,28.1,-0.0285043028710778
0.03,15.2,7.5,22.73,0.00988009036395855
500,321,310,1131,0.24875145025485942
550,313,325,1188,-0.161230370451021
405,320,300,1025,0.012215917495901714
3.16,18,11.83,32.98,-0.20989009312221
2.83,12.86,10.32,26.02,0.0389762817906761
5.57,10.83,7.98,24.62,0.2740088704877208
5.4,10.84,7.54,23.78,-0.121818195689809
4.94,9.54,7.21,21.69,0.15593736226267543
260,206,230,696,-0.186056799473274
3.87,5.15,5.62,14.63,0.2341987858265623
3.82,5.09,5.37,14.28,-0.316485924125972
3.7,5.03,5.08,13.81,0.20860437163491274
532,339,305,1176,0.0685248539307859
515,300,303,1118,-0.167538410409796
9.76,14.03,5.85,29.63,0.6196784610709621
9.87,15.3,5.66,30.83,0.058686082380531475
10.97,16.37,4.95,32.29,-0.0618131842219935
11.7,16.4,4.77,32.87,0.0476470274083735
1.91,8.93,5.53,16.37,0.1464189269166409
2.29,8.2,5.13,15.62,0.0518460977863068
2.45,5.37,4.51,12.33,-0.044357820012419
505,300,315,1120,0.2220496608125533
210,258,226,694,-0.223330242818573
235,239,235,709,0.0987797016672359
1.53,10.32,11.48,23.37,0.21942813788805673
1.57,10.72,11.43,23.73,-0.012383752704431
1.62,11.28,10.88,23.78,0.26810544780000506
1.65,11.68,10.67,24.01,0.0880148756825461
2.97,9.24,9.43,21.64,-0.222055095065316
2.57,7.19,8.98,18.69,0.40381090271614
2.85,7.43,9.19,19.47,-0.0966971869860137
0.98,2.77,3.62,7.39,0.553612160461733
1.66,2.74,3.58,7.98,0.013247167602756444
2.13,2.7,3.51,8.33,0.7295186361697544
1.27,2.48,3.24,6.99,-0.217558310448056
500,300,200,1000,-0.0780861594460239
8.3,8.16,3.64,20.08,0.0386187833547309
8.49,9,3.72,21.2,-0.578188890145183
9.18,9.46,3.85,22.48,-0.0728110538320543
10.21,9.77,3.82,23.8,-0.048638133559123
530,379,320,1229,-0.420529459431528
1.37,10.9,5.97,18.72,0.6262602140416262
1.16,10.51,5.51,17.18,0.9440010271091355
1.14,9.85,5.27,16.26,0.361312052994335
500,308,295,1103,-0.193235626019625
225,209,200,634,-0.157640964714549
500,319,300,1119,-0.140497315482928
525,307,310,1142,0.5153760452158354
2.02,14.57,11.93,29.1,0.37988447805790987
1.79,14.04,11.75,27.57,-0.121807533165006
1.87,12.49,11.16,25.51,0.31177122153022996
230,215,205,650,-0.154880098923397
8.57,8.62,8.51,25.57,0.0799815648340432
8.76,8.62,7.96,25.34,0.23941470248774982
7.37,8.22,7.14,22.74,0.17789018563662531
6.53,6.53,6.59,19.66,0.012626997579312516
6.51,12.91,6.55,26,-0.0540704163506602
6.44,13,6.45,25.89,0.1957962133322548
5.83,12.36,6.28,24.48,0.14927918312606664
4.89,9.42,5.63,19.94,-0.0535190965935797
2.53,9.1,7.97,19.65,0.7331092971700406
2.22,9.86,7.89,19.97,0.3572761798536646
2.65,10.84,8.08,21.57,-0.0219326055946422
5.57,13.1,7.76,26.43,-0.136024881642601
508,328,310,1146,0.12950448930465208
1.71,9.14,15.89,26.7,0.37271545196443273
1.71,9.42,15.3,26.42,-0.172789239968
1.78,9.11,14.53,25.41,0.2973126930207633
1.83,9.42,13.47,24.72,0.2083770698134999
520,310,310,1140,-0.0426966348912101
560,350,345,1255,-0.163390762504494
2.1,11.32,12.22,25.91,0.0618617777720069
2.05,11.94,12.66,26.65,-0.224166658189562
1.69,13.13,12.11,26.93,0.5354747658717767
280,300,230,810,0.000566157743779165
1.22,9.3,8.93,19.43,0.34278886135791514
1.22,9.3,9.09,19.61,0.1552028399647071
1.89,9.86,8.77,20.51,-0.0372991008755418
4.56,12.11,8.07,24.74,-0.0480191623281938
2.79,7.46,6.79,17.03,0.0764774964784741
2.68,7.32,6.47,16.46,-0.0947739918489811
1.95,6.55,6.05,14.56,0.24773347404864562
2.13,6.21,6.24,14.59,0.0372277685048698
5.37,14.5,5.51,26.54,0.9566416839044202
4.02,14.73,6.04,24.79,0.6509042100358754
3.97,14.63,5.68,24.28,0.2607450401564971
210,241,213,664,-0.0786379057785574
3.32,9.11,6.37,18.76,0.3638165298662707
3.45,9.01,6.29,18.75,0.261526501020406
4.14,8.04,5.97,18.14,-0.0419008854226293
510,320,300,1130,-0.104110482252649
14.98,8.88,5.05,28.77,0.2689822207531084
13.52,9.07,5.35,27.94,-0.0294305165583095
12.78,8.22,5.33,26.33,0.0727243355293009
9.8,5.78,5.52,21.1,0.10110802332119552
0.14,15.86,6.68,22.68,0.3595116432288226
0.11,14.13,7.27,21.52,0.040894894765927
14.48,12.9,7.56,35.24,-0.0056357819954881
