environment_score_end,social_score_end,governance_score_end,total_score_end,Annual_Return,Cluster_environment_score_end,Cluster_social_score_end,Cluster_governance_score_end,Cluster_total_score_end,Cluster_Annual_Return
0.88,9.48,7.19,17.6,0.282857106144266,1,1,1,1,0
0.87,9.42,6.86,17.14,0.3793945955643759,1,1,1,1,0
0.87,9.44,6.29,16.6,0.3422733362993932,1,1,1,1,0
573.0,231.0,233.0,1037.0,-0.204779858859081,0,2,2,0,2
270.0,211.0,265.0,746.0,0.0422380952879192,2,2,0,2,2
264.0,261.0,210.0,735.0,-0.0912566770676766,2,2,2,2,2
0.55,13.58,10.47,24.32,0.8958615472504776,1,1,1,1,0
0.18,7.69,8.86,16.72,0.3299131339291293,1,1,1,1,0
0.65,6.86,8.95,16.45,-0.0705168330191862,1,1,1,1,2
1.03,17.06,11.66,30.63,-0.0295922513311932,1,1,1,1,2
0.96,17.05,12.54,30.56,0.2028513619599402,1,1,1,1,0
0.65,17.0,11.08,28.73,0.2632953303877389,1,1,1,1,0
505.0,317.0,300.0,1122.0,0.1986558833836829,0,0,0,0,0
505.0,300.0,315.0,1120.0,0.2159451236039055,0,0,0,0,0
500.0,324.0,305.0,1129.0,-0.145027970468533,0,0,0,0,2
3.71,15.31,11.96,30.84,0.2339821191009301,1,1,1,1,0
3.36,15.86,11.11,30.34,0.2722519285365197,1,1,1,1,0
3.02,15.68,10.4,29.1,0.2849448284643596,1,1,1,1,0
515.0,305.0,305.0,1125.0,-0.155920471751923,0,0,0,0,2
0.92,8.62,5.8,15.16,0.304225591412965,1,1,1,1,0
0.97,8.13,5.86,15.1,-0.0813681139619869,1,1,1,1,2
0.96,8.1,6.19,15.26,0.5156554986339222,1,1,1,1,0
0.76,6.58,5.98,13.32,0.2387839832067958,1,1,1,1,0
515.0,360.0,305.0,1180.0,-0.229561572374298,0,0,0,0,2
0.47,7.97,5.23,13.87,0.4997498616085923,1,1,1,1,0
0.45,8.06,5.05,13.54,0.5155151367187485,1,1,1,1,0
0.48,5.65,4.74,10.88,0.1334399588137733,1,1,1,1,2
1.42,5.84,4.64,11.9,-0.258025263695775,1,1,1,1,2
350.0,318.0,300.0,968.0,-0.106582167974555,2,0,0,0,2
16.38,14.2,5.9,36.36,0.142469776257706,1,1,1,1,2
15.89,13.51,5.38,34.78,0.0824565208879458,1,1,1,1,2
15.91,13.49,4.85,34.25,0.3410713153090907,1,1,1,1,0
587.0,353.0,305.0,1245.0,0.4335799681890346,0,0,0,0,0
0.08,9.82,6.32,16.34,0.144657214156105,1,1,1,1,2
0.07,8.36,6.52,14.63,0.3200680951205229,1,1,1,1,0
0.07,7.55,6.0,13.63,0.0246568392000015,1,1,1,1,2
0.27,7.09,5.54,12.9,0.4012615793631288,1,1,1,1,0
500.0,300.0,200.0,1000.0,-0.0647188475000247,0,0,2,0,2
1.27,12.97,5.63,19.73,0.4631151416132247,1,1,1,1,0
1.28,12.77,5.46,19.52,0.6575646556062178,1,1,1,1,0
1.37,9.22,4.78,15.36,-0.0753674131536971,1,1,1,1,2
2.73,8.53,4.6,15.86,-0.299219933642505,1,1,1,1,2
18.26,12.17,6.6,37.02,0.0145567335800441,1,1,1,1,2
15.2,8.37,5.62,29.18,0.0784313725490196,1,1,1,1,2
17.84,9.38,5.56,32.76,-0.118836014359085,1,1,1,1,2
19.5,9.83,5.28,34.61,0.0676826984965532,1,1,1,1,2
16.17,7.29,5.52,28.97,0.1513032164918855,1,1,1,1,2
525.0,326.0,370.0,1221.0,0.0,0,0,0,0,2
2.05,8.23,13.59,23.87,-0.16157616038644,1,1,1,1,2
2.38,7.88,13.01,23.27,0.3091928562178988,1,1,1,1,0
0.47,7.26,9.57,17.3,0.1142759788654186,1,1,1,1,2
1.86,11.58,16.31,29.62,0.3195372703753348,1,1,1,1,0
1.9,12.79,15.84,30.54,-0.266847384627568,1,1,1,1,2
1.94,12.46,14.88,29.29,0.5102257186169972,1,1,1,1,0
518.0,323.0,310.0,1151.0,0.1023084722437746,0,0,0,0,2
1.36,11.17,13.48,26.01,0.0357359853677193,1,1,1,1,2
1.34,10.54,13.14,25.01,0.1442624838699425,1,1,1,1,2
438.0,316.0,300.0,1054.0,0.2104354740747406,0,0,0,0,0
0.12,11.03,13.26,23.46,0.159716724359336,1,1,1,1,2
0.12,11.04,13.46,23.99,0.3106248081101334,1,1,1,1,0
0.14,11.14,13.56,24.86,0.2939022936380795,1,1,1,1,0
530.0,344.0,310.0,1184.0,0.0668675513802287,0,0,0,0,2
1.91,11.8,7.34,21.05,0.20900509317455,1,1,1,1,0
1.98,11.51,7.62,21.11,0.112864913504268,1,1,1,1,2
1.93,10.35,7.45,19.73,0.0155329838974631,1,1,1,1,2
17.64,8.71,8.43,35.3,-0.0364116362151847,1,1,1,1,2
19.39,8.91,8.7,36.99,1.0070748880606804,1,1,1,1,0
19.09,8.97,8.77,36.83,0.5289078718389382,1,1,1,1,0
545.0,322.0,315.0,1182.0,-0.109153874896492,0,0,0,0,2
235.0,285.0,255.0,775.0,-0.375559934562276,2,0,2,2,2
515.0,303.0,259.0,1077.0,0.0804010584738383,0,0,2,0,2
530.0,300.0,220.0,1050.0,0.1988110714404161,0,0,2,0,0
542.0,322.0,315.0,1179.0,-0.18724461901972,0,0,0,0,2
525.0,317.0,300.0,1142.0,-0.281349076564703,0,0,0,0,2
200.0,208.0,200.0,608.0,-0.358825975265705,2,2,2,2,2
540.0,329.0,270.0,1139.0,-0.137181643112006,0,0,0,0,2
0.03,16.38,7.07,23.41,0.110179591633574,1,1,1,1,2
0.03,14.73,6.76,21.51,-0.0538271680290329,1,1,1,1,2
0.03,13.18,6.5,19.71,-0.027156751478041,1,1,1,1,2
575.0,312.0,328.0,1215.0,0.13589410511158,0,0,0,0,2
2.3,12.19,13.25,27.75,0.1599021703383316,1,1,1,1,2
2.4,10.04,12.73,25.17,0.544598048890789,1,1,1,1,0
2.72,7.43,12.47,22.62,-0.0426435129141973,1,1,1,1,2
5.81,6.68,5.63,18.12,0.4627968075322928,1,1,1,1,0
5.81,6.68,5.6,18.09,-0.0227272123318229,1,1,1,1,2
3.73,3.78,4.9,12.42,0.2938469966098223,1,1,1,1,0
2.41,3.48,5.01,10.89,-0.125970525177499,1,1,1,1,2
6.66,15.55,11.0,33.69,0.2611520798525851,1,1,1,1,0
5.74,13.46,10.8,30.0,0.7370292968749973,1,1,1,1,0
5.44,12.93,9.73,28.09,0.0196758678564587,1,1,1,1,2
5.71,14.62,9.86,30.18,-0.0945598678566099,1,1,1,1,2
444.0,310.0,295.0,1049.0,-0.121521236392949,0,0,0,0,2
0.75,9.96,5.22,15.93,0.8361509321586353,1,1,1,1,0
