environment_score_start,social_score_start,governance_score_start,total_score_start,Annual_Return,environment_cluster,governance_cluster,social_cluster,total_cluster,Annual_Return_Cluster
0.88,9.48,7.19,17.6,0.282857106,0,0,0,0,1
0.87,9.42,6.86,17.14,0.3793945955643759,0,0,0,0,2
0.87,9.44,6.29,16.6,0.3422733362993932,0,0,0,0,2
573,231,233,1037,-0.204779859,2,1,1,2,0
270,211,265,746,0.042238095,1,2,1,1,1
264,261,210,735,-0.091256677,1,1,1,1,0
0.55,13.58,10.47,24.32,0.8958615472504776,0,0,0,0,2
0.18,7.69,8.86,16.72,0.3299131339291293,0,0,0,0,2
0.65,6.86,8.95,16.45,-0.070516833,0,0,0,0,0
1.03,17.06,11.66,30.63,-0.029592251,0,0,0,0,0
0.96,17.05,12.54,30.56,0.2028513619599402,0,0,0,0,1
0.65,17,11.08,28.73,0.2632953303877389,0,0,0,0,1
505,317,300,1122,0.1986558833836829,2,2,2,2,1
505,300,315,1120,0.2159451236039055,2,2,2,2,1
500,324,305,1129,-0.14502797,2,2,2,2,0
3.71,15.31,11.96,30.84,0.2339821191009301,0,0,0,0,1
3.36,15.86,11.11,30.34,0.2722519285365197,0,0,0,0,1
3.02,15.68,10.4,29.1,0.2849448284643596,0,0,0,0,1
515,305,305,1125,-0.155920472,2,2,2,2,0
0.92,8.62,5.8,15.16,0.304225591,0,0,0,0,2
0.97,8.13,5.86,15.1,-0.081368114,0,0,0,0,0
0.96,8.1,6.19,15.26,0.5156554986339222,0,0,0,0,2
0.76,6.58,5.98,13.32,0.2387839832067958,0,0,0,0,1
515,360,305,1180,-0.229561572,2,2,2,2,0
0.47,7.97,5.23,13.87,0.4997498616085923,0,0,0,0,2
0.45,8.06,5.05,13.54,0.5155151367187485,0,0,0,0,2
0.48,5.65,4.74,10.88,0.1334399588137733,0,0,0,0,1
1.42,5.84,4.64,11.9,-0.258025264,0,0,0,0,0
350,318,300,968,-0.106582168,1,2,2,2,0
16.38,14.2,5.9,36.36,0.142469776,0,0,0,0,1
15.89,13.51,5.38,34.78,0.082456521,0,0,0,0,1
15.91,13.49,4.85,34.25,0.3410713153090907,0,0,0,0,2
587,353,305,1245,0.4335799681890346,2,2,2,2,2
0.08,9.82,6.32,16.34,0.144657214,0,0,0,0,1
0.07,8.36,6.52,14.63,0.3200680951205229,0,0,0,0,2
0.07,7.55,6,13.63,0.024656839,0,0,0,0,1
0.27,7.09,5.54,12.9,0.4012615793631288,0,0,0,0,2
500,300,200,1000,-0.064718848,2,1,2,2,0
1.27,12.97,5.63,19.73,0.4631151416132247,0,0,0,0,2
1.28,12.77,5.46,19.52,0.6575646556062178,0,0,0,0,2
1.37,9.22,4.78,15.36,-0.075367413,0,0,0,0,0
2.73,8.53,4.6,15.86,-0.299219934,0,0,0,0,0
18.26,12.17,6.6,37.02,0.014556734,0,0,0,0,1
15.2,8.37,5.62,29.18,0.078431373,0,0,0,0,1
17.84,9.38,5.56,32.76,-0.118836014,0,0,0,0,0
19.5,9.83,5.28,34.61,0.067682698,0,0,0,0,1
16.17,7.29,5.52,28.97,0.1513032164918855,0,0,0,0,1
525,326,370,1221,0,2,2,2,2,0
2.05,8.23,13.59,23.87,-0.16157616,0,0,0,0,0
2.38,7.88,13.01,23.27,0.3091928562178988,0,0,0,0,2
0.47,7.26,9.57,17.3,0.1142759788654186,0,0,0,0,1
1.86,11.58,16.31,29.62,0.3195372703753348,0,0,0,0,2
1.9,12.79,15.84,30.54,-0.266847385,0,0,0,0,0
1.94,12.46,14.88,29.29,0.5102257186169972,0,0,0,0,2
518,323,310,1151,0.1023084722437746,2,2,2,2,1
1.36,11.17,13.48,26.01,0.035735985,0,0,0,0,1
1.34,10.54,13.14,25.01,0.1442624838699425,0,0,0,0,1
438,316,300,1054,0.2104354740747406,2,2,2,2,1
0.12,11.03,13.26,23.46,0.159716724,0,0,0,0,1
0.12,11.04,13.46,23.99,0.3106248081101334,0,0,0,0,2
0.14,11.14,13.56,24.86,0.2939022936380795,0,0,0,0,1
530,344,310,1184,0.066867551,2,2,2,2,1
1.91,11.8,7.34,21.05,0.209005093,0,0,0,0,1
1.98,11.51,7.62,21.11,0.112864914,0,0,0,0,1
1.93,10.35,7.45,19.73,0.015532984,0,0,0,0,1
17.64,8.71,8.43,35.3,-0.036411636,0,0,0,0,0
19.39,8.91,8.7,36.99,1.0070748880606804,0,0,0,0,2
19.09,8.97,8.77,36.83,0.5289078718389382,0,0,0,0,2
545,322,315,1182,-0.109153875,2,2,2,2,0
235,285,255,775,-0.375559935,1,1,2,1,0
515,303,259,1077,0.080401058,2,1,2,2,1
530,300,220,1050,0.1988110714404161,2,1,2,2,1
542,322,315,1179,-0.187244619,2,2,2,2,0
525,317,300,1142,-0.281349077,2,2,2,2,0
200,208,200,608,-0.358825975,1,1,1,1,0
540,329,270,1139,-0.137181643,2,2,2,2,0
0.03,16.38,7.07,23.41,0.110179592,0,0,0,0,1
0.03,14.73,6.76,21.51,-0.053827168,0,0,0,0,0
0.03,13.18,6.5,19.71,-0.027156751,0,0,0,0,0
575,312,328,1215,0.135894105,2,2,2,2,1
2.3,12.19,13.25,27.75,0.1599021703383316,0,0,0,0,1
2.4,10.04,12.73,25.17,0.544598049,0,0,0,0,2
2.72,7.43,12.47,22.62,-0.042643513,0,0,0,0,0
5.81,6.68,5.63,18.12,0.4627968075322928,0,0,0,0,2
5.81,6.68,5.6,18.09,-0.022727212,0,0,0,0,0
3.73,3.78,4.9,12.42,0.2938469966098223,0,0,0,0,1
2.41,3.48,5.01,10.89,-0.125970525,0,0,0,0,0
6.66,15.55,11,33.69,0.2611520798525851,0,0,0,0,1
5.74,13.46,10.8,30,0.7370292968749973,0,0,0,0,2
5.44,12.93,9.73,28.09,0.019675868,0,0,0,0,1
5.71,14.62,9.86,30.18,-0.094559868,0,0,0,0,0
444,310,295,1049,-0.121521236,2,2,2,2,0
0.75,9.96,5.22,15.93,0.8361509321586353,0,0,0,0,2
0.94,9.46,4.99,15.4,0.4155090228770776,0,0,0,0,2
1.13,8.96,4.88,14.98,0.1069959662222174,0,0,0,0,1
0.86,7.32,4.93,13.12,-0.292317388,0,0,0,0,0
485,304,288,1077,0.093543933,2,2,2,2,1
13.6,4.11,7.25,24.83,-0.305126115,0,0,0,0,0
10.21,13.15,7.72,31.07,0.1442287595370415,0,0,0,0,1
7.12,11.35,6.39,24.87,-0.25687321,0,0,0,0,0
21.98,8.88,7.96,38.81,0.8354948866781068,0,0,0,0,2
510,316,325,1151,0.6129985387089295,2,2,2,2,2
6.28,1.68,3.67,11.64,0.1614027682070266,0,0,0,0,1
6.05,1.46,3.65,11.17,0.1048331224138371,0,0,0,0,1
5.94,1.28,3.59,10.81,-0.189412829,0,0,0,0,0
512,303,475,1290,-0.198405526,2,2,2,2,0
4.12,7.54,7.65,19.3,0.573653747,0,0,0,0,2
3.97,6.38,6.82,17.17,0.3580361681323126,0,0,0,0,2
3.77,4.71,5.33,13.81,0.255709472,0,0,0,0,1
555,339,310,1204,-0.353828591,2,2,2,2,0
600,337,345,1282,-0.12089985,2,2,2,2,0
15.9,15.4,7.04,38.35,0.2120489706434832,0,0,0,0,1
14.34,14.54,6.65,35.54,-0.148250629,0,0,0,0,0
13.42,13.09,6.75,33.26,0.098217977,0,0,0,0,1
14.15,13.05,6.58,33.79,0.1403809320358953,0,0,0,0,1
280,347,330,957,0.1879891240940953,1,2,2,2,1
3.57,3.6,5.96,13,-0.025421319,0,0,0,0,0
3.54,3.69,5.62,12.81,0.2151589966283396,0,0,0,0,1
3.51,3.55,5.35,12.42,-0.23771744,0,0,0,0,0
500,300,298,1098,-0.036340913,2,2,2,2,0
8.99,8.39,8.71,26.09,0.3711950271219582,0,0,0,0,2
8.96,8.66,7.9,25.52,0.5146017651473884,0,0,0,0,2
210,212,200,622,-0.13877721,1,1,1,1,0
13.3,1.58,4.38,19.25,0.4758574935131994,0,0,0,0,2
12.78,1.76,4.22,18.74,0.1792747057697586,0,0,0,0,1
12.19,1.93,4,18.12,0.3930914574243359,0,0,0,0,2
535,347,325,1207,-0.232092582,2,2,2,2,0
